Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec
0 days 01:08:03.128000,GAS,10,0 days 00:01:38.990000,19.0,3.0,,,0 days 00:00:31.629000,0 days 00:00:42.831000,0 days 00:00:24.530000,0 days 01:06:55.767000,0 days 01:07:38.598000,0 days 01:08:03.128000,225.0,238.0,273.0,292.0,False,SOFT,12.0,False,AlphaTauri,0 days 01:06:24.138000,2022-03-18 15:51:24.170,1,,False,,False,True,98.99
0 days 01:09:41.978000,GAS,10,0 days 00:01:38.850000,20.0,3.0,,,0 days 00:00:31.480000,0 days 00:00:42.944000,0 days 00:00:24.426000,0 days 01:08:34.608000,0 days 01:09:17.552000,0 days 01:09:41.978000,230.0,245.0,272.0,292.0,False,SOFT,13.0,False,AlphaTauri,0 days 01:08:03.128000,2022-03-18 15:53:03.160,1,,False,,False,True,98.85
0 days 01:11:22.733000,GAS,10,0 days 00:01:40.755000,21.0,3.0,,0 days 01:11:20.926000,0 days 00:00:31.534000,0 days 00:00:42.640000,0 days 00:00:26.581000,0 days 01:10:13.512000,0 days 01:10:56.152000,0 days 01:11:22.733000,230.0,259.0,,290.0,False,SOFT,14.0,False,AlphaTauri,0 days 01:09:41.978000,2022-03-18 15:54:42.010,1,,False,,False,False,100.755
0 days 01:13:31.559000,GAS,10,0 days 00:02:08.826000,22.0,4.0,0 days 01:11:50.575000,,0 days 00:01:00.765000,0 days 00:00:43.467000,0 days 00:00:24.594000,0 days 01:12:23.498000,0 days 01:13:06.965000,0 days 01:13:31.559000,226.0,251.0,269.0,171.0,False,MEDIUM,8.0,False,AlphaTauri,0 days 01:11:22.733000,2022-03-18 15:56:22.765,1,,False,,False,False,128.826
0 days 01:15:09.657000,GAS,10,0 days 00:01:38.098000,23.0,4.0,,,0 days 00:00:31.502000,0 days 00:00:42.225000,0 days 00:00:24.371000,0 days 01:14:03.061000,0 days 01:14:45.286000,0 days 01:15:09.657000,228.0,258.0,269.0,290.0,False,MEDIUM,9.0,False,AlphaTauri,0 days 01:13:31.559000,2022-03-18 15:58:31.591,1,,False,,False,True,98.098
0 days 01:16:56.507000,GAS,10,0 days 00:01:46.850000,24.0,4.0,,0 days 01:16:54.694000,0 days 00:00:31.977000,0 days 00:00:45.056000,0 days 00:00:29.817000,0 days 01:15:41.634000,0 days 01:16:26.690000,0 days 01:16:56.507000,226.0,209.0,,290.0,False,MEDIUM,10.0,False,AlphaTauri,0 days 01:15:09.657000,2022-03-18 16:00:09.689,1,,False,,False,False,106.85
0 days 00:32:49.585000,PER,11,0 days 00:01:46.912000,2.0,1.0,,,0 days 00:00:30.189000,0 days 00:00:49.230000,0 days 00:00:27.493000,0 days 00:31:32.862000,0 days 00:32:22.092000,0 days 00:32:49.585000,232.0,214.0,280.0,311.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:31:02.673000,2022-03-18 15:16:02.705,1,,False,,False,True,106.912
0 days 00:34:23.885000,PER,11,0 days 00:01:34.300000,3.0,1.0,,,0 days 00:00:30.263000,0 days 00:00:40.545000,0 days 00:00:23.492000,0 days 00:33:19.848000,0 days 00:34:00.393000,0 days 00:34:23.885000,232.0,264.0,280.0,309.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:32:49.585000,2022-03-18 15:17:49.617,1,,False,,False,True,94.3
0 days 00:36:13.684000,PER,11,0 days 00:01:49.799000,4.0,1.0,,0 days 00:36:11.915000,0 days 00:00:36.010000,0 days 00:00:46.083000,0 days 00:00:27.706000,0 days 00:34:59.895000,0 days 00:35:45.978000,0 days 00:36:13.684000,209.0,229.0,,189.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:34:23.885000,2022-03-18 15:19:23.917,1,,False,,False,False,109.799
0 days 00:45:11.073000,PER,11,0 days 00:01:32.958000,6.0,2.0,,,0 days 00:00:30.029000,0 days 00:00:39.637000,0 days 00:00:23.292000,0 days 00:44:08.144000,0 days 00:44:47.781000,0 days 00:45:11.073000,232.0,265.0,281.0,310.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:43:38.115000,2022-03-18 15:28:38.147,1,,False,,False,True,92.958
0 days 00:47:25.979000,PER,11,0 days 00:02:14.906000,7.0,2.0,,,0 days 00:00:41.344000,0 days 00:01:01.896000,0 days 00:00:31.666000,0 days 00:45:52.417000,0 days 00:46:54.313000,0 days 00:47:25.979000,147.0,178.0,213.0,229.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:45:11.073000,2022-03-18 15:30:11.105,1,,False,,False,True,134.906
0 days 00:49:35.164000,PER,11,0 days 00:02:09.185000,8.0,2.0,,,0 days 00:00:40.470000,0 days 00:00:59.675000,0 days 00:00:29.040000,0 days 00:48:06.449000,0 days 00:49:06.124000,0 days 00:49:35.164000,152.0,149.0,280.0,215.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:47:25.979000,2022-03-18 15:32:26.011,1,,False,,False,True,129.185
0 days 00:51:15.895000,PER,11,0 days 00:01:40.731000,9.0,2.0,,0 days 00:51:14.120000,0 days 00:00:30.003000,0 days 00:00:42.478000,0 days 00:00:28.250000,0 days 00:50:05.167000,0 days 00:50:47.645000,0 days 00:51:15.895000,234.0,228.0,,309.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:49:35.164000,2022-03-18 15:34:35.196,1,,False,,False,False,100.731
0 days 01:02:52.634000,PER,11,0 days 00:02:09.119000,11.0,4.0,0 days 01:01:03.164000,,0 days 00:00:59.781000,0 days 00:00:45.119000,0 days 00:00:24.219000,0 days 01:01:43.296000,0 days 01:02:28.415000,0 days 01:02:52.634000,220.0,244.0,268.0,193.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:00:43.515000,2022-03-18 15:45:43.547,1,,False,,False,False,129.119
0 days 01:04:29.852000,PER,11,0 days 00:01:37.218000,12.0,4.0,,,0 days 00:00:31.170000,0 days 00:00:41.786000,0 days 00:00:24.262000,0 days 01:03:23.804000,0 days 01:04:05.590000,0 days 01:04:29.852000,222.0,255.0,268.0,290.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:02:52.634000,2022-03-18 15:47:52.666,1,,False,,False,True,97.218
0 days 01:06:07.813000,PER,11,0 days 00:01:37.961000,13.0,4.0,,,0 days 00:00:31.481000,0 days 00:00:41.840000,0 days 00:00:24.640000,0 days 01:05:01.333000,0 days 01:05:43.173000,0 days 01:06:07.813000,219.0,255.0,268.0,290.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:04:29.852000,2022-03-18 15:49:29.884,1,,False,,False,True,97.961
0 days 01:07:46.234000,PER,11,0 days 00:01:38.421000,14.0,4.0,,,0 days 00:00:31.678000,0 days 00:00:42.348000,0 days 00:00:24.395000,0 days 01:06:39.491000,0 days 01:07:21.839000,0 days 01:07:46.234000,226.0,255.0,268.0,290.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:06:07.813000,2022-03-18 15:51:07.845,1,,False,,False,True,98.421
0 days 01:09:24.252000,PER,11,0 days 00:01:38.018000,15.0,4.0,,,0 days 00:00:31.485000,0 days 00:00:42.095000,0 days 00:00:24.438000,0 days 01:08:17.719000,0 days 01:08:59.814000,0 days 01:09:24.252000,222.0,253.0,268.0,289.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:07:46.234000,2022-03-18 15:52:46.266,1,,False,,False,True,98.018
0 days 01:11:02.617000,PER,11,0 days 00:01:38.365000,16.0,4.0,,,0 days 00:00:31.559000,0 days 00:00:42.438000,0 days 00:00:24.368000,0 days 01:09:55.811000,0 days 01:10:38.249000,0 days 01:11:02.617000,220.0,255.0,268.0,289.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:09:24.252000,2022-03-18 15:54:24.284,1,,False,,False,True,98.365
0 days 01:12:40.937000,PER,11,0 days 00:01:38.320000,17.0,4.0,,,0 days 00:00:31.500000,0 days 00:00:42.346000,0 days 00:00:24.474000,0 days 01:11:34.117000,0 days 01:12:16.463000,0 days 01:12:40.937000,220.0,256.0,269.0,289.0,False,SOFT,13.0,False,Red Bull Racing,0 days 01:11:02.617000,2022-03-18 15:56:02.649,1,,False,,False,True,98.32
0 days 01:14:21.218000,PER,11,0 days 00:01:40.281000,18.0,4.0,,,0 days 00:00:31.478000,0 days 00:00:42.653000,0 days 00:00:26.150000,0 days 01:13:12.415000,0 days 01:13:55.068000,0 days 01:14:21.218000,222.0,246.0,272.0,290.0,False,SOFT,14.0,False,Red Bull Racing,0 days 01:12:40.937000,2022-03-18 15:57:40.969,1,,False,,False,True,100.281
0 days 01:15:59.628000,PER,11,0 days 00:01:38.410000,19.0,4.0,,,0 days 00:00:31.515000,0 days 00:00:42.500000,0 days 00:00:24.395000,0 days 01:14:52.733000,0 days 01:15:35.233000,0 days 01:15:59.628000,227.0,256.0,281.0,289.0,False,SOFT,15.0,False,Red Bull Racing,0 days 01:14:21.218000,2022-03-18 15:59:21.250,1,,False,,False,True,98.41
0 days 01:17:59.718000,PER,11,0 days 00:02:00.090000,20.0,4.0,,0 days 01:17:57.753000,0 days 00:00:37.413000,0 days 00:00:50.443000,0 days 00:00:32.234000,0 days 01:16:37.041000,0 days 01:17:27.484000,0 days 01:17:59.718000,202.0,174.0,,269.0,False,SOFT,16.0,False,Red Bull Racing,0 days 01:15:59.628000,2022-03-18 16:00:59.660,1,,False,,False,False,120.09
0 days 00:21:55.400000,ALO,14,0 days 00:01:34.372000,2.0,1.0,,,0 days 00:00:30.370000,0 days 00:00:40.403000,0 days 00:00:23.599000,0 days 00:20:51.398000,0 days 00:21:31.801000,0 days 00:21:55.400000,233.0,264.0,286.0,315.0,True,MEDIUM,2.0,True,Alpine,0 days 00:20:21.028000,2022-03-18 15:05:21.060,1,,False,,False,True,94.372
0 days 00:23:48.981000,ALO,14,0 days 00:01:53.581000,3.0,1.0,,,0 days 00:00:35.120000,0 days 00:00:49.811000,0 days 00:00:28.650000,0 days 00:22:30.520000,0 days 00:23:20.331000,0 days 00:23:48.981000,207.0,211.0,281.0,299.0,False,MEDIUM,3.0,True,Alpine,0 days 00:21:55.400000,2022-03-18 15:06:55.432,1,,False,,False,True,113.581
0 days 00:25:23.781000,ALO,14,0 days 00:01:34.800000,4.0,1.0,,,0 days 00:00:30.419000,0 days 00:00:40.627000,0 days 00:00:23.754000,0 days 00:24:19.400000,0 days 00:25:00.027000,0 days 00:25:23.781000,233.0,262.0,281.0,312.0,False,MEDIUM,4.0,True,Alpine,0 days 00:23:48.981000,2022-03-18 15:08:49.013,1,,False,,False,True,94.8
0 days 00:27:17.327000,ALO,14,0 days 00:01:53.546000,5.0,1.0,,0 days 00:27:15.514000,0 days 00:00:33.891000,0 days 00:00:49.621000,0 days 00:00:30.034000,0 days 00:25:57.672000,0 days 00:26:47.293000,0 days 00:27:17.327000,217.0,217.0,,293.0,False,MEDIUM,5.0,True,Alpine,0 days 00:25:23.781000,2022-03-18 15:10:23.813,1,,False,,False,False,113.546
0 days 00:40:51.191000,ALO,14,0 days 00:01:32.877000,7.0,2.0,,,0 days 00:00:29.800000,0 days 00:00:39.682000,0 days 00:00:23.395000,0 days 00:39:48.114000,0 days 00:40:27.796000,0 days 00:40:51.191000,237.0,268.0,285.0,313.0,True,SOFT,2.0,True,Alpine,0 days 00:39:18.314000,2022-03-18 15:24:18.346,1,,False,,False,True,92.877
0 days 00:42:49.196000,ALO,14,0 days 00:01:58.005000,8.0,2.0,,,0 days 00:00:38.836000,0 days 00:00:52.243000,0 days 00:00:26.926000,0 days 00:41:30.027000,0 days 00:42:22.270000,0 days 00:42:49.196000,186.0,207.0,284.0,202.0,False,SOFT,3.0,True,Alpine,0 days 00:40:51.191000,2022-03-18 15:25:51.223,1,,False,,False,True,118.005
0 days 00:44:22.592000,ALO,14,0 days 00:01:33.396000,9.0,2.0,,,0 days 00:00:29.963000,0 days 00:00:39.932000,0 days 00:00:23.501000,0 days 00:43:19.159000,0 days 00:43:59.091000,0 days 00:44:22.592000,235.0,264.0,282.0,312.0,False,SOFT,4.0,True,Alpine,0 days 00:42:49.196000,2022-03-18 15:27:49.228,1,,False,,False,True,93.396
0 days 00:46:13.672000,ALO,14,0 days 00:01:51.080000,10.0,2.0,,0 days 00:46:11.897000,0 days 00:00:32.283000,0 days 00:00:50.168000,0 days 00:00:28.629000,0 days 00:44:54.875000,0 days 00:45:45.043000,0 days 00:46:13.672000,220.0,200.0,,287.0,False,SOFT,5.0,True,Alpine,0 days 00:44:22.592000,2022-03-18 15:29:22.624,1,,False,,False,False,111.08
0 days 00:58:13.544000,ALO,14,0 days 00:01:38.236000,12.0,3.0,,,0 days 00:00:31.623000,0 days 00:00:42.297000,0 days 00:00:24.316000,0 days 00:57:06.931000,0 days 00:57:49.228000,0 days 00:58:13.544000,225.0,253.0,270.0,280.0,False,MEDIUM,7.0,False,Alpine,0 days 00:56:35.308000,2022-03-18 15:41:35.340,1,,False,,False,True,98.236
0 days 00:59:51.710000,ALO,14,0 days 00:01:38.166000,13.0,3.0,,,0 days 00:00:31.497000,0 days 00:00:42.235000,0 days 00:00:24.434000,0 days 00:58:45.041000,0 days 00:59:27.276000,0 days 00:59:51.710000,226.0,254.0,271.0,281.0,False,MEDIUM,8.0,False,Alpine,0 days 00:58:13.544000,2022-03-18 15:43:13.576,1,,False,,False,True,98.166
0 days 01:01:30.078000,ALO,14,0 days 00:01:38.368000,14.0,3.0,,,0 days 00:00:31.540000,0 days 00:00:42.439000,0 days 00:00:24.389000,0 days 01:00:23.250000,0 days 01:01:05.689000,0 days 01:01:30.078000,226.0,255.0,281.0,283.0,False,MEDIUM,9.0,False,Alpine,0 days 00:59:51.710000,2022-03-18 15:44:51.742,1,,False,,False,True,98.368
0 days 01:03:08.332000,ALO,14,0 days 00:01:38.254000,15.0,3.0,,,0 days 00:00:31.388000,0 days 00:00:42.454000,0 days 00:00:24.412000,0 days 01:02:01.466000,0 days 01:02:43.920000,0 days 01:03:08.332000,226.0,253.0,271.0,311.0,False,MEDIUM,10.0,False,Alpine,0 days 01:01:30.078000,2022-03-18 15:46:30.110,1,,False,,False,True,98.254
0 days 01:04:46.913000,ALO,14,0 days 00:01:38.581000,16.0,3.0,,,0 days 00:00:31.716000,0 days 00:00:42.495000,0 days 00:00:24.370000,0 days 01:03:40.048000,0 days 01:04:22.543000,0 days 01:04:46.913000,227.0,255.0,272.0,286.0,False,MEDIUM,11.0,False,Alpine,0 days 01:03:08.332000,2022-03-18 15:48:08.364,1,,False,,False,True,98.581
0 days 01:06:26.260000,ALO,14,0 days 00:01:39.347000,17.0,3.0,,,0 days 00:00:31.721000,0 days 00:00:42.667000,0 days 00:00:24.959000,0 days 01:05:18.634000,0 days 01:06:01.301000,0 days 01:06:26.260000,226.0,252.0,269.0,284.0,False,MEDIUM,12.0,False,Alpine,0 days 01:04:46.913000,2022-03-18 15:49:46.945,1,,False,,False,True,99.347
0 days 01:08:05.256000,ALO,14,0 days 00:01:38.996000,18.0,3.0,,,0 days 00:00:31.814000,0 days 00:00:42.590000,0 days 00:00:24.592000,0 days 01:06:58.074000,0 days 01:07:40.664000,0 days 01:08:05.256000,227.0,254.0,272.0,286.0,False,MEDIUM,13.0,False,Alpine,0 days 01:06:26.260000,2022-03-18 15:51:26.292,1,,False,,False,True,98.996
0 days 01:09:44.221000,ALO,14,0 days 00:01:38.965000,19.0,3.0,,,0 days 00:00:31.764000,0 days 00:00:42.805000,0 days 00:00:24.396000,0 days 01:08:37.020000,0 days 01:09:19.825000,0 days 01:09:44.221000,227.0,254.0,273.0,287.0,False,MEDIUM,14.0,False,Alpine,0 days 01:08:05.256000,2022-03-18 15:53:05.288,1,,False,,False,True,98.965
0 days 01:11:25.936000,ALO,14,0 days 00:01:41.715000,20.0,3.0,,0 days 01:11:24.138000,0 days 00:00:31.704000,0 days 00:00:42.758000,0 days 00:00:27.253000,0 days 01:10:15.925000,0 days 01:10:58.683000,0 days 01:11:25.936000,228.0,252.0,,289.0,False,MEDIUM,15.0,False,Alpine,0 days 01:09:44.221000,2022-03-18 15:54:44.253,1,,False,,False,False,101.715
0 days 01:13:27.042000,ALO,14,0 days 00:02:01.106000,21.0,4.0,0 days 01:11:49.408000,,0 days 00:00:54.210000,0 days 00:00:42.311000,0 days 00:00:24.585000,0 days 01:12:20.146000,0 days 01:13:02.457000,0 days 01:13:27.042000,226.0,250.0,271.0,211.0,False,SOFT,6.0,False,Alpine,0 days 01:11:25.936000,2022-03-18 15:56:25.968,1,,False,,False,False,121.106
0 days 01:15:04.316000,ALO,14,0 days 00:01:37.274000,22.0,4.0,,,0 days 00:00:31.225000,0 days 00:00:41.906000,0 days 00:00:24.143000,0 days 01:13:58.267000,0 days 01:14:40.173000,0 days 01:15:04.316000,227.0,252.0,282.0,292.0,False,SOFT,7.0,False,Alpine,0 days 01:13:27.042000,2022-03-18 15:58:27.074,1,,False,,False,True,97.274
