Strategy,PitLaps,RaceTime
MEDIUM-SOFT-HARD,"[17, 41]",5647.586024242423
HARD-MEDIUM-SOFT,"[16, 33]",5647.586024242424
MEDIUM-HARD-SOFT,"[17, 33]",5647.586024242424
MEDIUM-HARD-SOFT,"[10, 33]",5647.586024242424
HARD-MEDIUM-SOFT,"[23, 33]",5647.586024242424
HARD-SOFT-MEDIUM,"[16, 40]",5647.586024242425
MEDIUM-SOFT-HARD,"[13, 43]",5647.675969696968
HARD-SOFT-MEDIUM,"[14, 44]",5647.675969696969
MEDIUM-HARD-SOFT,"[13, 27]",5647.67596969697
HARD-MEDIUM-SOFT,"[14, 27]",5647.67596969697
SOFT-HARD-MEDIUM,"[22, 40]",5647.682745454545
HARD-MEDIUM-SOFT,"[18, 35]",5647.6827454545455
SOFT-MEDIUM-HARD,"[22, 39]",5647.6827454545455
MEDIUM-SOFT-HARD,"[17, 39]",5647.6827454545455
MEDIUM-HARD-SOFT,"[17, 35]",5647.6827454545455
HARD-SOFT-MEDIUM,"[18, 40]",5647.682745454547
SOFT-MEDIUM-HARD,"[21, 34]",5647.73395151515
MEDIUM-SOFT-HARD,"[13, 34]",5647.73395151515
SOFT-HARD-MEDIUM,"[21, 44]",5647.73395151515
MEDIUM-HARD-SOFT,"[13, 36]",5647.733951515151
HARD-MEDIUM-SOFT,"[23, 36]",5647.7339515151525
HARD-SOFT-MEDIUM,"[23, 44]",5647.733951515153
MEDIUM-HARD-SOFT,"[16, 30]",5647.789751515151
HARD-MEDIUM-SOFT,"[14, 30]",5647.789751515151
MEDIUM-SOFT-HARD,"[16, 43]",5647.789751515151
HARD-SOFT-MEDIUM,"[14, 41]",5647.789751515152
MEDIUM-HARD-SOFT,"[17, 32]",5647.875090909089
MEDIUM-SOFT-HARD,"[17, 42]",5647.8750909090895
HARD-MEDIUM-SOFT,"[15, 32]",5647.87509090909
HARD-SOFT-MEDIUM,"[15, 40]",5647.875090909091
MEDIUM-SOFT-HARD,"[11, 42]",5647.920654545453
MEDIUM-HARD-SOFT,"[11, 26]",5647.920654545453
HARD-MEDIUM-SOFT,"[15, 26]",5647.920654545454
MEDIUM-SOFT-HARD,"[10, 41]",5647.9578303030285
MEDIUM-HARD-SOFT,"[10, 26]",5647.95783030303
HARD-MEDIUM-SOFT,"[16, 26]",5647.95783030303
MEDIUM-SOFT-HARD,"[17, 38]",5648.068533333332
SOFT-MEDIUM-HARD,"[21, 38]",5648.068533333332
SOFT-HARD-MEDIUM,"[21, 40]",5648.068533333332
MEDIUM-HARD-SOFT,"[17, 36]",5648.068533333333
HARD-SOFT-MEDIUM,"[19, 40]",5648.068533333335
HARD-MEDIUM-SOFT,"[19, 36]",5648.068533333335
MEDIUM-HARD-SOFT,"[15, 37]",5648.140224242423
SOFT-HARD-MEDIUM,"[20, 42]",5648.140224242424
SOFT-MEDIUM-HARD,"[20, 35]",5648.140224242424
MEDIUM-SOFT-HARD,"[15, 35]",5648.140224242424
HARD-MEDIUM-SOFT,"[22, 37]",5648.140224242425
HARD-SOFT-MEDIUM,"[22, 42]",5648.140224242426
MEDIUM-SOFT-HARD,"[12, 43]",5648.199472727272
HARD-MEDIUM-SOFT,"[14, 26]",5648.199472727272
MEDIUM-HARD-SOFT,"[12, 26]",5648.199472727272
SOFT-HARD-MEDIUM,"[20, 41]",5648.25175151515
MEDIUM-SOFT-HARD,"[16, 36]",5648.25175151515
MEDIUM-HARD-SOFT,"[16, 37]",5648.25175151515
SOFT-MEDIUM-HARD,"[20, 36]",5648.25175151515
HARD-SOFT-MEDIUM,"[21, 41]",5648.251751515152
HARD-MEDIUM-SOFT,"[21, 37]",5648.251751515152
SOFT-MEDIUM-HARD,"[22, 33]",5648.296145454544
MEDIUM-SOFT-HARD,"[11, 33]",5648.296145454544
HARD-MEDIUM-SOFT,"[24, 35]",5648.296145454546
MEDIUM-HARD-SOFT,"[11, 35]",5648.296145454546
MEDIUM-HARD-SOFT,"[14, 37]",5648.344690909089
MEDIUM-SOFT-HARD,"[14, 34]",5648.344690909089
SOFT-MEDIUM-HARD,"[20, 34]",5648.34469090909
SOFT-HARD-MEDIUM,"[20, 43]",5648.34469090909
HARD-MEDIUM-SOFT,"[23, 37]",5648.344690909091
HARD-SOFT-MEDIUM,"[23, 43]",5648.344690909093
HARD-MEDIUM-SOFT,"[14, 31]",5648.389109090908
MEDIUM-HARD-SOFT,"[17, 31]",5648.389109090908
MEDIUM-SOFT-HARD,"[17, 43]",5648.389109090908
HARD-SOFT-MEDIUM,"[14, 40]",5648.38910909091
MEDIUM-HARD-SOFT,"[15, 28]",5648.399751515151
MEDIUM-SOFT-HARD,"[15, 44]",5648.399751515151
HARD-MEDIUM-SOFT,"[13, 28]",5648.399751515153
HARD-SOFT-MEDIUM,"[13, 42]",5648.399751515153
MEDIUM-SOFT-HARD,"[10, 33]",5648.432715151514
SOFT-MEDIUM-HARD,"[23, 33]",5648.432715151514
HARD-MEDIUM-SOFT,"[24, 34]",5648.432715151515
MEDIUM-HARD-SOFT,"[10, 34]",5648.432715151515
