Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec
0 days 01:03:24.832000,STR,18,0 days 00:01:39.703000,16.0,2,,,0 days 00:00:31.760000,0 days 00:00:43.311000,0 days 00:00:24.632000,0 days 01:02:16.889000,0 days 01:03:00.200000,0 days 01:03:24.832000,229.0,252.0,266.0,282.0,False,SOFT,10.0,False,Aston Martin,0 days 01:01:45.129000,2022-03-18 15:46:45.161,1,,False,,False,True,99.703
0 days 01:05:04.150000,STR,18,0 days 00:01:39.318000,17.0,2,,,0 days 00:00:31.858000,0 days 00:00:42.908000,0 days 00:00:24.552000,0 days 01:03:56.690000,0 days 01:04:39.598000,0 days 01:05:04.150000,228.0,249.0,275.0,278.0,False,SOFT,11.0,False,Aston Martin,0 days 01:03:24.832000,2022-03-18 15:48:24.864,1,,False,,False,True,99.318
0 days 01:06:43.582000,STR,18,0 days 00:01:39.432000,18.0,2,,,0 days 00:00:31.641000,0 days 00:00:42.978000,0 days 00:00:24.813000,0 days 01:05:35.791000,0 days 01:06:18.769000,0 days 01:06:43.582000,228.0,250.0,274.0,300.0,False,SOFT,12.0,False,Aston Martin,0 days 01:05:04.150000,2022-03-18 15:50:04.182,1,,False,,False,True,99.432
0 days 01:10:07.592000,STR,18,0 days 00:01:39.259000,20.0,2,,,0 days 00:00:31.788000,0 days 00:00:42.902000,0 days 00:00:24.569000,0 days 01:09:00.121000,0 days 01:09:43.023000,0 days 01:10:07.592000,225.0,249.0,266.0,286.0,False,SOFT,14.0,False,Aston Martin,0 days 01:08:28.333000,2022-03-18 15:53:28.365,1,,False,,False,True,99.259
0 days 01:11:47.237000,STR,18,0 days 00:01:39.645000,21.0,2,,,0 days 00:00:31.944000,0 days 00:00:42.930000,0 days 00:00:24.771000,0 days 01:10:39.536000,0 days 01:11:22.466000,0 days 01:11:47.237000,228.0,252.0,267.0,276.0,False,SOFT,15.0,False,Aston Martin,0 days 01:10:07.592000,2022-03-18 15:55:07.624,1,,False,,False,True,99.645
0 days 00:56:25.723000,OCO,31,0 days 00:01:38.416000,12.0,2,,,0 days 00:00:31.652000,0 days 00:00:42.318000,0 days 00:00:24.446000,0 days 00:55:18.959000,0 days 00:56:01.277000,0 days 00:56:25.723000,222.0,254.0,269.0,279.0,False,SOFT,7.0,False,Alpine,0 days 00:54:47.307000,2022-03-18 15:39:47.339,1,,False,,False,True,98.416
0 days 00:58:04.081000,OCO,31,0 days 00:01:38.358000,13.0,2,,,0 days 00:00:31.536000,0 days 00:00:42.320000,0 days 00:00:24.502000,0 days 00:56:57.259000,0 days 00:57:39.579000,0 days 00:58:04.081000,226.0,253.0,270.0,280.0,False,SOFT,8.0,False,Alpine,0 days 00:56:25.723000,2022-03-18 15:41:25.755,1,,False,,False,True,98.358
0 days 00:59:42.805000,OCO,31,0 days 00:01:38.724000,14.0,2,,,0 days 00:00:31.704000,0 days 00:00:42.624000,0 days 00:00:24.396000,0 days 00:58:35.785000,0 days 00:59:18.409000,0 days 00:59:42.805000,223.0,253.0,271.0,281.0,False,SOFT,9.0,False,Alpine,0 days 00:58:04.081000,2022-03-18 15:43:04.113,1,,False,,False,True,98.724
0 days 01:01:21.537000,OCO,31,0 days 00:01:38.732000,15.0,2,,,0 days 00:00:31.541000,0 days 00:00:42.678000,0 days 00:00:24.513000,0 days 01:00:14.346000,0 days 01:00:57.024000,0 days 01:01:21.537000,225.0,253.0,271.0,285.0,False,SOFT,10.0,False,Alpine,0 days 00:59:42.805000,2022-03-18 15:44:42.837,1,,False,,False,True,98.732
0 days 01:03:00.305000,OCO,31,0 days 00:01:38.768000,16.0,2,,,0 days 00:00:31.520000,0 days 00:00:42.723000,0 days 00:00:24.525000,0 days 01:01:53.057000,0 days 01:02:35.780000,0 days 01:03:00.305000,225.0,254.0,271.0,286.0,False,SOFT,11.0,False,Alpine,0 days 01:01:21.537000,2022-03-18 15:46:21.569,1,,False,,False,True,98.768
